112	RG AVEC DISPENSE PO VIEILLESSE	RG DISPENSE PO VIEIL	A	8.55	12.77	0.00	01/01/2024
114	RG AVEC DISPENSE PO VIEIL.SANS AT	DISP PO VIEIL	E	8.55	12.86		01/01/2026
114	RG AVEC DISPENSE PO VIEIL.SANS AT	DISP PO VIEIL	E	8.55	12.77		01/01/2024
118	CONTR RET SUPPL FINAN DOT AUX PROV	RET SUPP DOTATIONS	E		48.00		01/01/2017
120	HEBERGEMENT CENTRES READAPT SOCIALE	READAPTAT	E	15.45	13.26		01/01/2026
120	HEBERGEMENT CENTRES READAPT SOCIALE	READAPTAT	E	15.45	13.17		01/01/2024
122	HANDICAPES AVEC AIDE AU POSTE	HAND.AIDE AU POSTE	A	15.45	12.96	0.00	01/01/2026
122	HANDICAPES AVEC AIDE AU POSTE	HAND.AIDE AU POSTE	A	15.45	12.87	0.00	01/01/2024
127	COTISATIONS NOTARIAT VIEILLESSE RG	NOTARIAT VIEILL RG	A	15.45	13.26	0.00	01/01/2026
127	COTISATIONS NOTARIAT VIEILLESSE RG	NOTARIAT VIEILL RG	A	15.45	13.17	0.00	01/01/2024
130	CONCIERGES ET EMPLOYES IMM.CAS GEN.	EMPLOYE IMM. CAS GEN	D	15.45	13.26	3.47	01/01/2026
130	CONCIERGES ET EMPLOYES IMM.CAS GEN.	EMPLOYE IMM. CAS GEN	D	15.45	13.17	3.30	01/05/2025
131	CONCIERGES ET EMPLOYES IMM.CAS GEN. AL	CAS GENERAL	D	15.45	14.56	1.64	01/01/2026
131	CONCIERGES ET EMPLOYES IMM.CAS GEN. AL	CAS GENERAL	D	15.45	14.47	1.74	01/05/2025
132	CONCIERGE,EMPLOYE IMMEUBLE,AU PAIR	EMPLOYE IMM.AU PAIR	D	8.55	12.86	3.47	01/01/2026
132	CONCIERGE,EMPLOYE IMMEUBLE,AU PAIR	EMPLOYE IMM.AU PAIR	D	8.55	12.77	3.30	01/05/2025
133	CONCIERGES EMPL.D'IMM.AU PAIR AL	AU PAIR	D	8.55	12.86	1.64	01/01/2026
133	CONCIERGES EMPL.D'IMM.AU PAIR AL	AU PAIR	D	8.55	12.77	1.74	01/05/2025
134	CENTRES DE VACANCES LEGERS	COL VAC	A	15.45	13.26	0.00	01/01/2026
134	CENTRES DE VACANCES LEGERS	COL VAC	A	15.45	13.17	0.00	01/01/2024
135	CENTRES DE VACANCES LEGERS AL	CAS GENERAL	A	15.45	14.56	0.00	01/01/2026
135	CENTRES DE VACANCES LEGERS AL	CAS GENERAL	A	15.45	14.47	0.00	01/01/2024
136	CENTRES VACANCES LEGERS DISPENSE PO	COL. VAL	A	8.55	12.86	0.00	01/01/2026
136	CENTRES VACANCES LEGERS DISPENSE PO	COL. VAL	A	8.55	12.77	0.00	01/01/2024
137	CENTRES VACANCES LEGERS DISP.PO AL	AU PAIR	A	8.55	12.86	0.00	01/01/2026
137	CENTRES VACANCES LEGERS DISP.PO AL	AU PAIR	A	8.55	12.77	0.00	01/01/2024
138	CENTRE VACANCES LEGER DISP.PO VIEIL.	COL. VAC.	A	8.55	12.86	0.00	01/01/2026
138	CENTRE VACANCES LEGER DISP.PO VIEIL.	COL. VAC.	A	8.55	12.77	0.00	01/01/2024
139	CENTRES VACANCES LEGERS DISP.PO VIE. AL	DISP PO VIEIL	A	8.55	14.16	0.00	01/01/2026
139	CENTRES VACANCES LEGERS DISP.PO VIE. AL	DISP PO VIEIL	A	8.55	14.07	0.00	01/01/2024
